Month,Day,Hour,Reward
2,28,1,0.0
2,28,2,0.7480400031122851
2,28,3,9.008495387375184
2,28,4,12.680129733914367
2,28,5,1.4525552293086772
2,28,6,3.3342141638068616
2,28,7,7.2985548406816925
2,28,8,15.432902568554272
2,28,9,9.532346009936509
2,28,10,12.049592708448131
2,28,11,8.186545548690198
2,28,12,8.941546487611532
2,28,13,1.9338574114881313
2,28,14,8.849486877589046
2,28,15,9.033450139401573
2,28,16,9.46485984203201
2,28,17,4.724467193167413
2,28,18,6.916831872722687
2,28,19,5.020795053492405
2,28,20,6.991521347231606
2,28,21,4.2107882123571
2,28,22,12.021095954277884
2,28,23,3.828470924091893
2,28,24,11.646276846478484
