Month,Day,Hour,Reward
2,28,1,0.0
2,28,2,5.393289661495209
2,28,3,-0.6869187799320589
2,28,4,10.059837240198704
2,28,5,5.9653833336906645
2,28,6,2.8763847016204123
2,28,7,3.8670028118010933
2,28,8,2.268273252805054
2,28,9,7.427138085424834
2,28,10,4.763867642791583
2,28,11,6.262946165807529
2,28,12,7.654455100378142
2,28,13,6.873318868703354
2,28,14,5.59925872779449
2,28,15,6.392345542273719
2,28,16,6.5867222842380055
2,28,17,2.261789156822796
2,28,18,7.112402554466383
2,28,19,4.458624792338762
2,28,20,1.2805386667127507
2,28,21,9.663549148843632
2,28,22,0.8192573340967497
2,28,23,5.391967413566555
2,28,24,-0.3545754507092811
